caseid,liveurban,vote16,protest,vote,most_important_issue,confecon,ideology,partyID,universal_income,family_separation,free_college,forgive_loans,race,birthyr,sex,education,weight,fttrump,ftobama,ftbiden,ftwarren,ftsanders,ftbuttigieg,ftharris,ftblack,ftwhite,fthisp,ftasian,ftmuslim,ftillegal,ftjournal,ftnato,ftun,ftice,ftnra,ftchina,ftnkorea,ftmexico,ftsaudi,ftukraine,ftiran,ftbritain,ftgermany,ftjapan,ftisrael,ftfrance,ftcanada,ftturkey,ftrussia,ftpales,ftimmig,partisanship,ftbiden_level,age,age2,ftbiden_float,ftbiden_cat,ftbiden_str,prefersbiden,worried_econ,favor_both
1351,Town,Hillary Clinton,False,Joe Biden,Donald Trump,Moderately worried,,Democrat,Favor a great deal,Oppose strongly,Favor a little,Favor a great deal,Black,1956,Female,High school graduate, ,0.0,100.0,100.0,44.0,100.0,31.0,49.0,100.0,70.0,92.0,90.0,85.0,84.0,100,17.0,23.0,0.0,100.0,39,4.0,22.0,12.0,29.0,44.0,36,30,38,77.0,46.0,100,36.0,1.0,24.0,87.0,100.0,like,64,4096,100.0,100.0,100.0,True,True,True
1352,City,Hillary Clinton,False,Someone else,Healthcare,A little worried,Liberal,Democrat,Favor a little,Oppose strongly,Favor a moderate amount,Favor a little,Hispanic,1957,Female,High school graduate,1.60170525360538,0.0,71.0,50.0,61.0,80.0,50.0,49.0,72.0,62.0,94.0,70.0,53.0,52.0,51,50.0,50.0,16.0,50.0,52,9.0,39.0,28.0,41.0,16.0,52,32,50,43.0,63.0,60,48.0,40.0,44.0,50.0,50.0,neutral,63,3969,50.0,50.0,50.0,True,False,True
1353,City,Hillary Clinton,False,Joe Biden,Politics,Moderately worried,,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a little,White,1997,Female,Some college,1.08428147456979,18.0,91.0,45.0,69.0,100.0,30.0,76.0,89.0,89.0,72.0,84.0,88.0,66.0,73,48.0,52.0,39.0,44.0,28,44.0,32.0,36.0,36.0,29.0,82,83,31,77.0,53.0,97,56.0,33.0,30.0,99.0,27.0,neutral,23,529,45.0,45.0,45.0,True,True,True
1354,Town,Donald Trump,False,Donald Trump,Inmigración ilegal coming.to this country have todo something,Extremely worried,Liberal,Republican,Favor a great deal,Favor strongly,Favor a great deal,Oppose a little,Hispanic,1983,Male,4-year degree,.664185823366026,56.0,60.0,55.0,69.0,56.0,43.0,54.0,46.0,50.0,60.0,57.0,62.0,47.0,44,54.0,50.0,57.0,49.0,66,72.0,45.0,53.0,58.0,51.0,64,55,56,71.0,81.0,55,65.0,56.0,48.0,62.0,-1.0,neutral,37,1369,55.0,55.0,55.0,False,True,True
1355,Town,Donald Trump,False,Donald Trump,Illegal immigration and the welfare state,Not at all worried,Conservative,Republican,Oppose a great deal,Favor somewhat,Oppose a great deal,Oppose a great deal,White,1983,Male,Post-graduate,.72095150813415,98.0,2.0,3.0,5.0,3.0,23.0,5.0,16.0,100.0,28.0,85.0,5.0,1.0,2,95.0,3.0,100.0,100.0,7,6.0,6.0,52.0,51.0,3.0,88,69,50,99.0,56.0,50,41.0,49.0,1.0,84.0,-95.0,dislike,37,1369,3.0,3.0,3.0,False,False,False
1356,City,Someone else,False,Donald Trump,National debt,Not at all worried,Moderate,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1981,Male,4-year degree,.719398435501688,57.0,18.0,25.0,1.0,3.0,27.0,4.0,46.0,47.0,47.0,47.0,34.0,31.0,36,37.0,31.0,50.0,51.0,20,28.0,41.0,24.0,49.0,14.0,67,66,64,58.0,35.0,63,54.0,42.0,50.0,63.0,-32.0,dislike,39,1521,25.0,25.0,25.0,False,False,False
1357,City,Donald Trump,False,Donald Trump,the democrats,A little worried,Moderate,Independent,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a moderate amount,White,1943,Female,2-year degree,.964187113748541,52.0,35.0,41.0,14.0,47.0,10.0,13.0,55.0,59.0,55.0,53.0,46.0,45.0,17,56.0,30.0,72.0,43.0,31,9.0,31.0,34.0,51.0,11.0,65,68,50,72.0,63.0,71,51.0,31.0,21.0,72.0,-11.0,neutral,77,5929,41.0,41.0,41.0,False,False,False
1358,Rural,Hillary Clinton,False,Joe Biden,illegal immigration,Not at all worried,Moderate,Democrat,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1966,Female,High school graduate,.859624473676246,22.0,26.0,35.0,25.0,5.0,,6.0,11.0,89.0,21.0,9.0,5.0,3.0,41,48.0,55.0,85.0,6.0,5,0.0,0.0,1.0,2.0,0.0,51,51,21,30.0,51.0,61,11.0,2.0,3.0,9.0,13.0,dislike,54,2916,35.0,35.0,35.0,True,False,False
1359,Suburb,Hillary Clinton,False,Joe Biden,Division. People seem to have forgot American first that has to follow laws & not a party as ex of gun law & mass shootings,Moderately worried,Conservative,Democrat,Oppose a moderate amount,Oppose strongly,Oppose a little,Oppose a moderate amount,Black,1957,Female,4-year degree,1.00419310222554,2.0,94.0,85.0,76.0,70.0,50.0,70.0,57.0,52.0,56.0,50.0,48.0,2.0,86,81.0,89.0,56.0,1.0,32,0.0,56.0,40.0,47.0,2.0,61,71,50,46.0,58.0,91,,0.0,49.0,47.0,83.0,like,63,3969,85.0,85.0,85.0,True,True,False
1360,Rural,Hillary Clinton,False,Someone else,Trump,Very worried,Liberal,Democrat,Favor a moderate amount,Oppose strongly,Favor a great deal,Neither favor nor oppose,White,1982,Female,High school graduate,1.1868578046394,1.0,90.0,78.0,72.0,69.0,69.0,66.0,82.0,79.0,82.0,86.0,67.0,77.0,83,53.0,86.0,85.0,1.0,77,3.0,72.0,78.0,77.0,67.0,93,74,84,67.0,89.0,98,61.0,76.0,72.0,83.0,77.0,like,38,1444,78.0,78.0,78.0,True,False,True
1361,Rural,Donald Trump,False,Donald Trump,Political corruption.,A little worried,Moderate,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1945,Female,4-year degree,.958801780636491,60.0,4.0,3.0,5.0,3.0,4.0,5.0,77.0,75.0,68.0,44.0,42.0,10.0,47,68.0,59.0,77.0,97.0,31,11.0,58.0,9.0,36.0,10.0,50,51,31,85.0,44.0,85,50.0,21.0,59.0,100.0,-57.0,dislike,75,5625,3.0,3.0,3.0,False,False,False
1362,Town,Someone else,False,Joe Biden,"All the extreme partisanship, it's getting to the point where the two parties cannot even agree on basic facts",Moderately worried,Moderate,Independent,Oppose a little,Neither favor nor disagree,Oppose a moderate amount,Oppose a little,White,1989,Male,Post-graduate,.512553308873863,9.0,65.0,66.0,23.0,26.0,55.0,26.0,52.0,52.0,52.0,51.0,51.0,20.0,81,91.0,59.0,44.0,42.0,47,5.0,63.0,24.0,63.0,46.0,95,73,94,62.0,70.0,79,47.0,14.0,44.0,94.0,57.0,neutral,31,961,66.0,66.0,66.0,True,True,False
1363,Rural,Donald Trump,False,Donald Trump,Democratic politicians,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1959,Female,High school graduate,1.07978658850445,100.0,1.0,2.0,2.0,2.0,1.0,0.0,54.0,55.0,51.0,53.0,53.0,4.0,3,8.0,5.0,100.0,100.0,3,2.0,34.0,45.0,8.0,3.0,54,3,49,100.0,6.0,51,8.0,6.0,1.0,52.0,-98.0,dislike,61,3721,2.0,2.0,2.0,False,False,False
1364,Suburb,Did not vote,False,Probably will not vote,immegration,A little worried,Liberal,Independent,Favor a little,Oppose somewhat,Favor a little,Oppose a little,Other,1983,Female,4-year degree,.702921453765476,49.0,99.0,71.0,50.0,33.0,51.0,50.0,50.0,89.0,51.0,89.0,5.0,6.0,88,89.0,90.0,71.0,51.0,6,3.0,52.0,4.0,4.0,7.0,77,6,9,4.0,69.0,87,9.0,20.0,7.0,100.0,22.0,like,37,1369,71.0,71.0,71.0,True,False,True
1365,City,Did not vote,False,Probably will not vote, ,Moderately worried,Moderate,Independent,Oppose a moderate amount,Oppose strongly,Favor a moderate amount,Oppose a moderate amount,White,1936,Male,Some college,.886897917032422,20.0,50.0,50.0,50.0,31.0,50.0,,80.0,95.0,85.0,85.0,50.0,31.0,50,70.0,70.0,50.0,35.0,30,1.0,56.0,40.0,52.0,2.0,90,87,90,70.0,75.0,100,50.0,0.0,10.0,80.0,30.0,neutral,84,7056,50.0,50.0,50.0,True,True,False
1366,City,Someone else,True,Joe Biden,Murder of the unborn (abortion),A little worried,Moderate,Independent,Favor a great deal,Oppose strongly,Oppose a moderate amount,Oppose a great deal,White,1989,Male,Post-graduate,.512553308873863,15.0,40.0,69.0,29.0,50.0,59.0,18.0,70.0,62.0,63.0,54.0,66.0,30.0,12,54.0,22.0,63.0,25.0,15,2.0,56.0,12.0,50.0,7.0,39,77,91,66.0,23.0,59,35.0,4.0,56.0,92.0,54.0,neutral,31,961,69.0,69.0,69.0,True,False,False
1367,City,Hillary Clinton,False,Someone else,Upholding the constitution.,Very worried,Conservative,Republican,Favor a little,Oppose strongly,Oppose a moderate amount,Neither favor nor oppose,White,1968,Female,High school graduate,1.14335364316539,9.0,91.0,59.0,26.0,22.0,,30.0,63.0,59.0,60.0,44.0,50.0,50.0,47,46.0,49.0,67.0,72.0,41,31.0,50.0,60.0,24.0,36.0,29,40,30,81.0,45.0,56,21.0,13.0,35.0,50.0,50.0,neutral,52,2704,59.0,59.0,59.0,True,False,False
1368,City,Hillary Clinton,False,Joe Biden,Climate change,A little worried,Liberal,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a great deal,White,1989,Female,Post-graduate,.83469258858232,0.0,97.0,72.0,70.0,84.0,75.0,74.0,60.0,43.0,51.0,57.0,50.0,54.0,78,69.0,78.0,30.0,19.0,34,8.0,69.0,25.0,54.0,41.0,77,69,70,53.0,71.0,98,29.0,16.0,41.0,78.0,72.0,like,31,961,72.0,72.0,72.0,True,False,True
1369,Suburb,Hillary Clinton,False,Joe Biden,white supremacy,A little worried,Liberal,Democrat,Favor a little,Neither favor nor disagree,Neither favor nor oppose,Favor a little,Other,1981,Female,4-year degree,.702921453765476,1.0,74.0,51.0,72.0,51.0,66.0,51.0,46.0,44.0,61.0,52.0,54.0,51.0,56,50.0,56.0,2.0,10.0,6,6.0,70.0,5.0,50.0,50.0,61,51,56,61.0,61.0,62,50.0,7.0,50.0,51.0,50.0,neutral,39,1521,51.0,51.0,51.0,True,False,False
1370,Suburb,Donald Trump,False,Donald Trump,illegal immigration,Not at all worried,Conservative,Republican,Favor a little,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1956,Female,High school graduate,.87142212322185,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,41.0,0.0,10,20.0,31.0,79.0,100.0,40,0.0,0.0,29.0,50.0,0.0,50,41,50,88.0,51.0,46,48.0,19.0,44.0,100.0,-100.0,dislike,64,4096,0.0,0.0,0.0,False,False,False
1371,Rural,Hillary Clinton,False,Joe Biden,na,Very worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a great deal,Favor a great deal,Black,1965,Male,Post-graduate,.933382507604407,1.0,100.0,95.0,94.0,74.0,,10.0,100.0,63.0,82.0,79.0,91.0,94.0,90,72.0,75.0,19.0,0.0,6,22.0,70.0,50.0,63.0,79.0,86,60,95,33.0,78.0,96,64.0,1.0,92.0,90.0,94.0,like,55,3025,95.0,95.0,95.0,True,False,True
1372,Town,Someone else,False,Someone else,Don’t know,A little worried,Conservative,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1989,Female,4-year degree,1.14423143123507,54.0,29.999999999999996,29.0,50.0,17.0,,50.0,73.0,75.0,72.0,66.0,70.0,38.0,47,,50.0,50.0,66.0,50,39.0,50.0,50.0,50.0,50.0,81,78,50,50.0,50.0,74,50.0,50.0,50.0,72.0,-25.0,dislike,31,961,29.0,29.0,29.0,False,False,False
1373,Suburb,Donald Trump,False,Donald Trump,Democrats!,Not at all worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,Other,1956,Female,Some college,.894697819960992,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,99.0,16.0,0.0,21,0.0,0.0,100.0,100.0,22,0.0,41.0,19.0,50.0,0.0,90,70,51,90.0,22.0,61,7.0,0.0,6.0,100.0,-100.0,dislike,64,4096,0.0,0.0,0.0,False,False,False
1374,Town,Donald Trump,False,Donald Trump,I think the economy is probably the most important,Moderately worried,Conservative,Republican,Favor a little,Favor somewhat,Neither favor nor oppose,Neither favor nor oppose,White,1955,Female,High school graduate,.912639809717802,61.0,28.0,38.0,41.0,41.0,38.0,41.0,49.0,66.0,49.0,47.0,42.0,41.0,38,41.0,42.0,37.0,49.0,25,18.0,38.0,17.0,28.0,18.0,39,28,39,28.0,30.0,50,31.0,41.0,17.0,30.0,-23.0,dislike,65,4225,38.0,38.0,38.0,False,True,False
1375,Suburb,Hillary Clinton,False,Joe Biden,Donald Trump,Extremely worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a great deal,Favor a great deal,White,1969,Male,High school graduate,.878855634357939,0.0,100.0,100.0,52.0,53.0,16.0,24.0,100.0,100.0,100.0,100.0,99.0,92.0,91,100.0,98.0,57.0,5.0,99,0.0,83.0,72.0,1.0,1.0,91,93,93,81.0,84.0,100,1.0,0.0,41.0,97.0,100.0,like,51,2601,100.0,100.0,100.0,True,True,True
1376,Rural,Donald Trump,False,Donald Trump,"north korea, china",Not at all worried,Conservative,Republican,Oppose a moderate amount,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1948,Female,High school graduate,.954396916008379,97.0,31.0,5.0,3.0,2.0,15.0,6.0,50.0,50.0,51.0,50.0,50.0,16.0,1,39.0,38.0,94.0,75.0,1,0.0,30.0,1.0,1.0,0.0,52,31,48,100.0,40.0,41,1.0,1.0,1.0,50.0,-92.0,dislike,72,5184,5.0,5.0,5.0,False,False,False
1377,Town,Hillary Clinton,True,Joe Biden,This dangerous president. He will continue to break down and threaten our democracy.,Extremely worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a little,Favor a great deal,White,1969,Female,High school graduate,1.14335364316539,,100.0,80.0,100.0,70.0,97.0,71.0,100.0,99.0,100.0,100.0,100.0,100.0,94,90.0,71.0,2.0,1.0,50,1.0,99.0,50.0,88.0,53.0,97,97,70,50.0,93.0,100,50.0,1.0,52.0,100.0,,like,51,2601,80.0,80.0,80.0,False,True,True
1378,Rural,Donald Trump,False,Donald Trump,The Democratic Party,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a moderate amount,Oppose a great deal,White,1962,Male,No HS diploma,.875767443555245,99.0,16.0,3.0,10.0,2.0,3.0,5.0,98.0,99.0,98.0,100.0,42.0,11.0,5,5.0,5.0,95.0,100.0,2,5.0,50.0,4.0,51.0,1.0,55,11,1,99.0,78.0,100,4.0,7.0,51.0,98.0,-96.0,dislike,58,3364,3.0,3.0,3.0,False,False,False
1379,City,Hillary Clinton,False,Joe Biden,Our relationship with the world & civil rights,Very worried,Liberal,Democrat,Favor a little,Oppose strongly,Favor a great deal,Favor a great deal,White,1979,Female,4-year degree,1.08295150660022,1.0,81.0,35.0,72.0,94.0,72.0,64.0,50.0,50.0,85.0,85.0,85.0,85.0,89,85.0,85.0,1.0,3.0,75,1.0,85.0,1.0,85.0,60.0,100,100,80,1.0,100.0,100,59.0,1.0,53.0,85.0,34.0,dislike,41,1681,35.0,35.0,35.0,True,False,True
1380,Suburb,Hillary Clinton,False,Joe Biden,Racism,A little worried,Moderate,Democrat,Favor a little,Oppose strongly,Favor a little,Favor a moderate amount,Black,1945,Female,Post-graduate,.648587547099287,1.0,100.0,90.0,81.0,60.0,75.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100,93.0,86.0,26.0,9.0,78,5.0,99.0,3.0,85.0,76.0,96,92,95,70.0,85.0,98,4.0,1.0,88.0,100.0,89.0,like,75,5625,90.0,90.0,90.0,True,False,True
1381,Town,Donald Trump,False,Donald Trump,Illegal immigrates and the democrat party leadership,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,Hispanic,1946,Male,2-year degree,1.20322374426769,96.0,2.0,1.0,0.0,2.0,2.0,2.0,54.0,50.0,58.0,53.0,21.0,5.0,16,53.0,3.0,91.0,86.0,45,9.0,25.0,17.0,54.0,3.0,91,67,83,95.0,60.0,59,56.0,56.0,19.0,92.0,-95.0,dislike,74,5476,1.0,1.0,1.0,False,False,False
1382,Suburb,Donald Trump,False,Someone else,Education,Not at all worried,,,Neither favor nor oppose,Favor strongly,Neither favor nor oppose,Neither favor nor oppose,Hispanic,1980,Female,Some college,.930289804256808,50.0,70.0,50.0,,49.0,50.0,,63.0,55.0,99.0,54.0,1.0,1.0,2,,3.0,79.0,100.0,48,0.0,71.0,1.0,1.0,1.0,50,50,50,50.0,50.0,51,49.0,50.0,2.0,1.0,0.0,neutral,40,1600,50.0,50.0,50.0,False,False,False
1383,Rural,Someone else,False,Someone else,The way things are in general,Not at all worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Favor a little,Favor a little,White,1984,Male,Post-graduate,.79489925395261,5.0,28.0,18.0,7.0,100.0,22.0,29.0,99.0,97.0,99.0,98.0,98.0,99.0,98,97.0,58.0,80.0,99.0,100,78.0,99.0,98.0,95.0,99.0,97,97,100,97.0,99.0,98,67.0,98.0,100.0,95.0,13.0,dislike,36,1296,18.0,18.0,18.0,True,False,False
1384,Suburb,Donald Trump,False,Donald Trump,Economy and healthcare,A little worried,Conservative,Republican,Favor a little,Favor somewhat,Favor a moderate amount,Favor a moderate amount,Other,1967,Male,4-year degree,.625338257998037,87.0,26.0,8.0,45.0,15.0,23.0,14.0,8.0,80.0,25.0,39.0,15.0,34.0,33,60.0,42.0,34.0,44.0,38,57.0,85.0,59.0,71.0,54.0,66,69,61,52.0,47.0,68,70.0,55.0,66.0,58.0,-79.0,dislike,53,2809,8.0,8.0,8.0,False,False,True
1385,City,Hillary Clinton,True,Joe Biden,The climate emergency,A little worried,Liberal,Democrat,Favor a moderate amount,Oppose strongly,Favor a great deal,Favor a great deal,Hispanic,1964,Male,4-year degree,.556427919485323,1.0,80.0,60.0,94.0,71.0,69.0,83.0,82.0,39.0,65.0,52.0,50.0,94.0,67,94.0,69.0,1.0,1.0,21,1.0,73.0,2.0,74.0,44.0,66,87,57,14.0,80.0,94,5.0,1.0,31.0,100.0,59.0,neutral,56,3136,60.0,60.0,60.0,True,False,True
1386,Suburb,Did not vote,False,Probably will not vote,Trump,Moderately worried,,,Neither favor nor oppose,Neither favor nor disagree,Neither favor nor oppose,Neither favor nor oppose,White,1996,Female,Some college,.872100489544827,15.0,95.0,83.0,53.0,49.0,47.0,49.0,56.0,56.0,56.0,52.0,50.0,47.0,53,52.0,77.0,48.0,13.0,56,13.0,57.0,38.0,35.0,25.0,97,54,26,48.0,73.0,95,51.0,13.0,44.0,56.0,68.0,like,24,576,83.0,83.0,83.0,True,True,False
1387,City,Hillary Clinton,False,Joe Biden,Russian interference in our elections. A close second would be the disinformation on Facebook.,Moderately worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a moderate amount,Favor a great deal,White,1960,Female,No HS diploma,1.12771195596091,1.0,65.0,80.0,100.0,5.0,1.0,80.0,100.0,31.0,100.0,100.0,100.0,100.0,100,50.0,90.0,1.0,0.0,30,94.0,66.0,0.0,95.0,32.0,95,90,59,50.0,80.0,91,1.0,0.0,84.0,100.0,79.0,like,60,3600,80.0,80.0,80.0,True,True,True
1388,Rural,Donald Trump,False,Donald Trump,The tryrrany we face from within our own House of Representatives and the House Leadership.,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1951,Female,High school graduate,.968155932229058,100.0,5.0,14.0,1.0,2.0,14.0,1.0,86.0,83.0,84.0,90.0,1.0,4.0,4,5.0,3.0,92.0,73.0,9,8.0,51.0,32.0,5.0,8.0,35,34,88,95.0,25.0,58,26.0,23.0,4.0,92.0,-86.0,dislike,69,4761,14.0,14.0,14.0,False,False,False
1389,Suburb,Hillary Clinton,False,Joe Biden,ideology divide,A little worried,Moderate,Independent,Oppose a great deal,Oppose strongly,Oppose a little,Oppose a moderate amount,Black,1956,Male,4-year degree,1.09491026560571,30.0,79.0,67.0,61.0,61.0,60.0,60.0,72.0,70.0,69.0,70.0,70.0,50.0,80,84.0,84.0,49.0,34.0,80,81.0,81.0,79.0,79.0,78.0,81,78,78,79.0,79.0,81,81.0,79.0,81.0,69.0,37.0,neutral,64,4096,67.0,67.0,67.0,True,False,False
1390,Suburb,Donald Trump,False,Donald Trump,Immigration,Moderately worried,Conservative,Republican,Favor a great deal,Neither favor nor disagree,Favor a little,Favor a little,White,1977,Female,Some college,.819619380522467,70.0,51.0,,2.0,11.0,0.0,0.0,75.0,97.0,82.0,99.0,5.0,50.0,63,65.0,57.0,66.0,64.0,26,25.0,62.0,63.0,35.0,56.0,62,36,36,61.0,48.0,81,63.0,62.0,37.0,100.0,,,43,1849,,,nan,False,True,True
1391,Rural,Donald Trump,False,Donald Trump,Money,A little worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1930,Male,Post-graduate,.817754440786381,98.0,6.000000000000007,1.0,1.0,0.0,3.0,4.0,52.0,83.0,60.0,59.0,0.0,0.0,69,42.0,38.0,56.0,88.0,67,14.0,48.0,29.0,35.0,0.0,81,75,76,98.0,57.0,91,16.0,46.0,39.0,88.0,-97.0,dislike,90,8100,1.0,1.0,1.0,False,False,False
1392,Suburb,Hillary Clinton,True,Joe Biden,Problems of enemiety,Extremely worried,Liberal,Republican,Favor a great deal,Favor strongly,Favor a great deal,Favor a great deal,White,1984,Male,4-year degree,1.21015887656044,100.0,69.0,76.0,79.0,82.0,76.0,72.0,91.0,77.0,81.0,88.0,75.0,77.0,87,99.0,99.0,95.0,99.0,84,95.0,84.0,85.0,84.0,91.0,86,89,81,78.0,78.0,85,89.0,87.0,84.0,75.0,-24.0,like,36,1296,76.0,76.0,76.0,False,True,True
1393,Town,Donald Trump,False,Donald Trump,People unable to moderate their opinion or views and being totally adverse to discussing them. We won't be able to survive the vacuum,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a moderate amount,White,1938,Male,High school graduate,.878328109180257,90.0,20.0,40.0,50.0,51.0,49.0,51.0,65.0,76.0,71.0,71.0,50.0,50.0,31,70.0,40.0,90.0,95.0,41,20.0,85.0,71.0,41.0,5.0,91,61,91,81.0,66.0,91,21.0,22.0,47.0,60.0,-50.0,dislike,82,6724,40.0,40.0,40.0,False,False,False
1394,Town,Someone else,False,Someone else,health insurance and immigration,Moderately worried,Moderate,Independent,Favor a great deal,Oppose strongly,Favor a great deal,Favor a great deal,Other,1964,Female,High school graduate,.695402665654136,1.0,4.0,3.0,6.0,4.0,5.0,0.0,49.0,47.0,46.0,50.0,51.0,38.0,47,17.0,21.0,11.0,6.0,10,16.0,23.0,22.0,50.0,15.0,49,12,9,27.0,12.0,9,48.0,53.0,50.0,43.0,2.0,dislike,56,3136,3.0,3.0,3.0,True,True,True
1395,Suburb,Donald Trump,True,Donald Trump,Socialism,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1953,Male,High school graduate,.932901125294228,100.0,2.0,2.0,0.0,0.0,1.0,1.0,52.0,53.0,50.0,54.0,53.0,41.0,3,52.0,4.0,87.0,84.0,50,11.0,49.0,52.0,50.0,3.0,52,53,79,86.0,52.0,82,49.0,52.0,1.0,82.0,-98.0,dislike,67,4489,2.0,2.0,2.0,False,False,False
1396,Suburb,Donald Trump,False,Donald Trump,Identity politics,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a little,Oppose a great deal,Hispanic,1957,Male,4-year degree,.52549218566033,96.0,31.0,2.0,4.0,4.0,7.0,3.0,94.0,97.0,97.0,96.0,94.0,25.0,3,80.0,9.0,93.0,82.0,44,40.0,90.0,44.0,59.0,47.0,90,81,100,93.0,51.0,97,54.0,45.0,33.0,94.0,-94.0,dislike,63,3969,2.0,2.0,2.0,False,False,False
1397,Town,Did not vote,False,Probably will not vote,healthcare,Very worried,Conservative,Independent,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,White,1959,Female,No HS diploma,1.00314773385733,7.0,2.0,8.0,16.0,15.0,10.0,7.0,52.0,78.0,24.0,8.0,2.0,2.0,32,41.0,36.0,12.0,42.0,17,16.0,7.0,32.0,31.0,7.0,46,62,34,63.0,14.0,56,14.0,16.0,28.0,1.0,1.0,dislike,61,3721,8.0,8.0,8.0,True,False,False
1398,City,Donald Trump,False,Donald Trump,witch hunts occupying Democrats in congress,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1945,Female,4-year degree,1.00415246677689,99.0,2.0,9.0,0.0,0.0,0.0,0.0,60.0,61.0,61.0,57.0,50.0,2.0,35,75.0,48.0,75.0,50.0,50,0.0,45.0,15.0,50.0,0.0,60,60,55,50.0,60.0,65,50.0,50.0,10.0,60.0,-90.0,dislike,75,5625,9.0,9.0,9.0,False,False,False
1399,Suburb,Donald Trump,False,Donald Trump,"The greatest threat or problem facing our Country is the mono-focus of Democrats to eliminate President Trump from office, to the exclusion of the will of the people that voted him into office. Their hissy fit began while his was still campaigning for the office of President. We've had more harm done by spiteful Democrats in the last 3+ years in dividing our people and even when the evidence proves them wrong, they twist things so they can keep spewing hate and division. The Democratic party is like watching/listening to someone with mental illness who is untreated. They are spiraling down the rabbit hole toward implosion and self annihilation. They are a disgrace and shame on our Nation.",Not at all worried,Conservative,Republican,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,Other,1962,Female,High school graduate,1.16979363186726,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,0.0,0.0,0,0.0,0.0,100.0,100.0,50,40.0,60.0,0.0,60.0,0.0,70,70,60,100.0,0.0,70,0.0,60.0,0.0,70.0,-100.0,dislike,58,3364,0.0,0.0,0.0,False,False,False
1400,City,Someone else,False,Someone else,trump,Extremely worried,,,Neither favor nor oppose,Neither favor nor disagree,Favor a moderate amount,Oppose a little,White,1949,Male,2-year degree, ,50.0,100.0,99.0,50.0,50.0,51.0,100.0,50.0,90.0,59.0,75.0,89.0,1.0,41,83.0,84.0,50.0,1.0,51,50.0,58.0,69.0,57.0,53.0,50,69,67,70.0,78.0,92,80.0,53.0,46.0,71.0,49.0,like,71,5041,99.0,99.0,99.0,True,True,False
1401,Rural,Donald Trump,False,Donald Trump,Continues to be illegal immigration,A little worried,Conservative,Republican,Oppose a moderate amount,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1952,Female,Post-graduate,.972701588139908,98.0,7.999999999999993,12.0,7.0,2.0,14.0,12.0,95.0,98.0,88.0,98.0,72.0,2.0,41,61.0,44.0,99.0,94.0,60,31.0,65.0,46.0,63.0,47.0,96,67,90,90.0,56.0,57,44.0,71.0,49.0,92.0,-86.0,dislike,68,4624,12.0,12.0,12.0,False,False,False
